"country","spending","pop2023"
"United States",750000000000,339996563
"China",237000000000,1425671352
"Saudi Arabia",67600000000,36947025
"India",61000000000,1428627663
"United Kingdom",55100000000,67736802
"Germany",50000000000,83294633
"Japan",49000000000,123294513
"Russia",48000000000,144444359
"South Korea",44000000000,51784059
"France",41500000000,64756584
"Brazil",27800000000,216422446
"Italy",27800000000,58870762
"Australia",26300000000,26439111
"United Arab Emirates",22755000000,9516871
"Canada",22500000000,38781291
"Israel",20000000000,9174520
"Iran",19600000000,89172767
"Turkey",19000000000,85816199
"Spain",15100000000,47519628
"Algeria",13000000000,45606480
"Netherlands",12419000000,17618299
"Afghanistan",12000000000,42239854
"Poland",12000000000,41026067
"Pakistan",11400000000,240485658
"Egypt",11200000000,112716598
"Singapore",11200000000,6014723
"Taiwan",10725000000,23923276
"Colombia",10600000000,52085168
"Morocco",10000000000,37840044
"Oman",8686000000,4644384
"Indonesia",7600000000,277534122
"Norway",7179000000,5474360
"Thailand",7100000000,71801279
"Mexico",7000000000,128455567
"Angola",7000000000,36684202
"Kuwait",6831000000,4310108
"Sweden",6327000000,10612086
"Qatar",6000000000,2716391
"Vietnam",5500000000,98858950
"Ukraine",5400000000,36744634
"Romania",5050000000,19892812
"Switzerland",5000000000,8796669
"Uruguay",4950000000,3423108
"Belgium",4921000000,11686140
"Greece",4844000000,10341277
"Denmark",4760000000,5910913
"New Zealand",4300000000,5228100
"South Africa",4278000000,60414495
"Chile",4250000000,19629590
"Argentina",4200000000,45773884
"Malaysia",4000000000,34308525
"Kazakhstan",4000000000,19606633
"Bangladesh",3800000000,172954319
"Finland",3570000000,5545475
"Philippines",3470000000,117337368
"Austria",3380000000,8958960
"Portugal",3358000000,10247605
"Libya",3000000000,6888388
"Czech Republic",2969000000,10495295
"Azerbaijan",2805000000,10412651
"Myanmar",2650000000,54577997
"Jordan",2600000000,11337052
"Peru",2560000000,34352719
"Sri Lanka",2500000000,21893579
"Ecuador",2500000000,18190484
"Lebanon",2500000000,5353930
"Sudan",2470000000,48109006
"Nigeria",2155000000,223804632
"Slovakia",2122000000,5795199
"Hungary",2080000000,10156239
"Syria",1800000000,23227014
"Iraq",1730000000,45504560
"North Korea",1600000000,26160821
"Tajikistan",1600000000,10143543
"Bahrain",1415000000,1485509
"Yemen",1400000000,34449825
"Armenia",1385000000,2777970
"Lithuania",1107000000,2718352
"Bulgaria",1079000000,6687717
"Uzbekistan",975000000,35163944
"Uganda",935000000,48582334
"Serbia",907000000,7149077
"Ireland",870000000,5056935
"Croatia",800000000,4008617
"Dominican Republic",760000000,11332972
"Venezuela",745000000,28838499
"Latvia",724000000,1830211
"Republic of the Congo",715000000,6106869
"Ghana",710000000,34121985
"Estonia",685000000,1322765
"Bolivia",660000000,12388571
"Cambodia",604000000,16944826
"Slovenia",581000000,2119675
"Ivory Coast",550000000,28873034
"Tunisia",550000000,12458223
"Namibia",505000000,2604172
"Cuba",500000000,11194449
"Panama",500000000,4468087
"Botswana",450000000,2675352
"Ethiopia",350000000,126527060
"Cameroon",347000000,28647293
"Georgia",327000000,3728282
"Niger",325000000,27202843
"Paraguay",250000000,6861524
"Albania",250000000,2832439
"Mozambique",245000000,33897354
"Guatemala",240000000,18092026
"Tanzania",223000000,67438106
"Nepal",213000000,30896590
"Honduras",205000000,10593798
"Chad",200000000,18278568
"Turkmenistan",200000000,6516100
"El Salvador",167000000,6364943
"Bosnia and Herzegovina",165000000,3210847
"Mongolia",155000000,3447157
"Nicaragua",140000000,7046310
"Burkina Faso",130000000,23251485
"Kenya",121000000,55100586
"Madagascar",115000000,30325732
"North Macedonia",108150000,2085679
"DR Congo",100000000,102262808
"Zimbabwe",100000000,16665409
"Gabon",83000000,2436566
"South Sudan",80000000,11088796
"Sierra Leone",75500000,8791092
"Mali",70000000,23293698
"Montenegro",65000000,626485
"Suriname",63000000,623236
"Somalia",62200000,18143378
"Mauritania",50250000,4862989
"Zambia",40000000,20569737
"Moldova",30000000,3435931
"Bhutan",25120000,787424
"Kyrgyzstan",20000000,6735347
"Central African Republic",20000000,5742315
"Laos",18500000,7633779
"Liberia",13000000,5418377
"Belarus",623.7,9498238
